Run ID,Event ID,Track ID,Particle Name,Start Energy [eV],Start X [m],Start Y [m],Start Z [m],Start Time [ns],Energy Deposited [eV],Track Weight,End X [m],End Y [m],End Z [m],Final Time [ns]
Run ID,Event ID,Track ID,Particle Name,Start Energy [eV],Start X [m],Start Y [m],Start Z [m],Start Time [ns],Energy Deposited [eV],Track Weight,End X [m],End Y [m],End Z [m],Final Time [ns]
0,0,843,phononTS,9.20818e-05,-0.00193543,0.000243275,-0.002,3753.73,9.20818e-05,1,0.00483373,-0.000893747,-0.002,7826.74
0,0,842,phononL,4.0053e-05,-0.00193543,0.000243275,-0.002,3753.73,4.0053e-05,1,0.000732954,-0.00452581,0.002,4982.43
0,0,841,phononTF,6.48797e-05,-0.00193543,0.000243275,-0.002,3753.73,6.48797e-05,1,0.00353514,-0.00142662,-0.002,10547.5
0,0,840,phononTS,3.62685e-06,-0.00193543,0.000243275,-0.002,3753.73,3.62685e-06,1,-0.0034453,-0.000784262,0.002,4606.07
0,0,839,phononTS,0.000355536,-0.00193543,0.000243275,-0.002,3753.73,0.00034743,1,-0.000504164,0.00131762,0.002,4628.78
0,0,850,phononTF,4.0688e-06,-0.000504164,0.00131762,0.002,4628.78,4.0688e-06,1,0.00436588,0.00202895,-0.002,5751.86
0,0,849,phononTF,4.03766e-06,-0.000504164,0.00131762,0.002,4628.78,4.03766e-06,1,-0.000536675,9.7315e-05,-0.002,5344.6
0,0,838,phononTS,0.000166876,-0.00193543,0.000243275,-0.002,3753.73,0.000166876,1,-0.00190991,0.000569196,0.002,4435.93
0,0,837,phononL,0.000113499,-0.00193543,0.000243275,-0.002,3753.73,0.000113499,1,0.00288142,-5.33765e-05,-0.002,5549.42
0,0,836,phononTF,1.62126e-05,-0.00193543,0.000243275,-0.002,3753.73,1.62126e-05,1,-0.0020934,0.000128431,-0.002,5462.04
0,0,835,phononTS,8.35664e-05,-0.00193543,0.000243275,-0.002,3753.73,8.35664e-05,1,-0.00212751,0.00172819,-0.002,5307.66
0,0,834,phononTS,0.000265478,-0.00193543,0.000243275,-0.002,3753.73,0.000265478,1,-0.00415817,-0.000488814,-0.002,68604.2
0,0,833,phononL,0.000272043,-0.00193543,0.000243275,-0.002,3753.73,0.000272043,1,-0.00428701,0.0010257,0.002,4279.13
0,0,832,phononTS,0.000660277,-0.00193543,0.000243275,-0.002,3753.73,0.00034743,1,-0.0024207,0.00151556,-0.002,5287.94
0,0,852,phononTS,0.000310696,-0.0024207,0.00151556,-0.002,5287.94,0.000310696,1,0.00151215,-0.0032256,-0.002,47640.4
0,0,831,phononTS,0.00032015,-0.00193543,0.000243275,-0.002,3753.73,0.00032015,1,-0.00386364,0.00167531,0.002,8914.77
0,0,830,phononTS,1.88405e-06,-0.00193543,0.000243275,-0.002,3753.73,1.88405e-06,1,0.00126372,0.00278937,0.002,6173.32
0,0,829,phononTS,1.40794e-06,-0.00193543,0.000243275,-0.002,3753.73,1.40794e-06,1,-0.000541934,-0.000458648,0.002,4612.58
0,0,828,phononTF,5.36548e-07,-0.00193543,0.000243275,-0.002,3753.73,5.36548e-07,1,-0.000593583,-0.00149318,-0.002,6532.6
0,0,827,phononTS,0.000187181,-0.00193543,0.000243275,-0.002,3753.73,0.000187181,1,-0.00483526,0.00219616,0.002,4900.18
0,0,856,phononTS,0.00283943,-0.00474812,0.00218881,-0.0018257,11230.8,0.00283943,1,-0.00369825,0.00163618,0.002,14847.7
0,0,858,phononTS,0.000815478,-0.005,0.00233084,-0.00183975,11281,0.00034743,1,-0.00274841,0.0046414,-0.002,12979.4
0,0,860,phononTS,0.000260668,-0.00274841,0.0046414,-0.002,12979.4,0.000260668,1,0.00307191,-0.0034006,0.002,94457.9
0,0,859,phononTF,0.00020738,-0.00274841,0.0046414,-0.002,12979.4,0.00020738,1,-0.000300659,0.0045296,0.002,18039.2
0,0,857,phononTS,0.00122382,-0.005,0.00233084,-0.00183975,11281,0.00069486,1,-0.00193269,0.00331831,0.002,13852.1
0,0,865,phononTF,0.000170123,-0.00193269,0.00331831,0.002,13852.1,0.000170123,1,-0.00217396,-0.00252191,-0.002,17742
0,0,863,phononTS,0.000202982,-0.00193269,0.00331831,0.002,13852.1,0.000202982,1,-0.00174581,0.00334064,-0.002,14575.9
0,0,862,phononTF,7.65632e-05,-0.00193269,0.00331831,0.002,13852.1,7.65632e-05,1,0.00236837,0.00150758,0.002,64559.5
0,0,861,phononTF,7.84277e-05,-0.00193269,0.00331831,0.002,13852.1,7.84277e-05,1,-0.00196173,0.00290396,-0.002,14793.9
0,0,853,phononTS,0.00266896,-0.000230836,-0.000503488,0.000237047,1797.74,0.00138972,1,0.00148995,0.000673232,0.002,11260.1
0,0,874,phononTS,0.000251311,0.00148995,0.000673232,0.002,11260.1,0.000251311,1,0.00460052,0.00214351,0.002,16073.3
0,0,873,phononTS,0.000205334,0.00148995,0.000673232,0.002,11260.1,0.000205334,1,0.00491241,0.00423564,-0.002,14124.5
0,0,872,phononTF,1.96795e-05,0.00148995,0.000673232,0.002,11260.1,1.96795e-05,1,9.29425e-05,-0.000829345,-0.002,12934.9
0,0,871,phononTS,0.000118157,0.00148995,0.000673232,0.002,11260.1,0.000118157,1,0.000705284,0.00141085,0.002,21052.7
0,0,870,phononTF,1.25696e-05,0.00148995,0.000673232,0.002,11260.1,1.25696e-05,1,0.00440476,-0.00492303,-0.002,13706.3
0,0,869,phononTF,0.000246184,0.00148995,0.000673232,0.002,11260.1,0.000246184,1,0.00468011,-0.00484189,-0.002,31075.4
0,0,867,phononTS,0.00011878,0.00148995,0.000673232,0.002,11260.1,0.00011878,1,0.000814549,0.000340765,-0.002,12032.3
0,0,866,phononTF,0.000178743,0.00148995,0.000673232,0.002,11260.1,0.000178743,1,9.99686e-05,-0.00167762,-0.002,12151.1
0,0,879,phononTF,0.00752722,1.52565e-05,-4.03061e-05,-2.82778e-05,73.5573,0.00386381,1,-0.00123884,0.000814532,-0.002,1731.29
0,0,903,phononTS,7.85606e-06,-0.00123884,0.000814532,-0.002,1731.29,7.85606e-06,1,-0.00482619,-0.00172214,-0.002,4615.46
0,0,902,phononL,0.000295695,-0.00123884,0.000814532,-0.002,1731.29,0.000295695,1,-0.00447985,0.00497904,0.002,2443.94
0,0,899,phononTF,7.29264e-06,-0.00123884,0.000814532,-0.002,1731.29,7.29264e-06,1,-0.00117594,0.00283128,-0.002,6402.55
0,0,898,phononTF,0.000195026,-0.00123884,0.000814532,-0.002,1731.29,0.000195026,1,-0.00380163,0.00499679,-0.002,7649.74
0,0,896,phononTF,1.3411e-06,-0.00123884,0.000814532,-0.002,1731.29,1.3411e-06,1,-0.00196406,-0.0031492,0.002,135883
0,0,895,phononTS,1.81634e-05,-0.00123884,0.000814532,-0.002,1731.29,1.81634e-05,1,0.00437315,-0.0018341,0.002,9834.31
0,0,894,phononL,0.000155947,-0.00123884,0.000814532,-0.002,1731.29,0.000155947,1,-0.0044624,0.00234599,-0.002,2959.97
0,0,893,phononTF,0.000336403,-0.00123884,0.000814532,-0.002,1731.29,0.000336403,1,-0.0023031,0.0022411,0.002,3120.97
0,0,892,phononTF,5.77158e-06,-0.00123884,0.000814532,-0.002,1731.29,5.77158e-06,1,0.00038561,0.00388957,0.002,4063.87
0,0,891,phononTF,0.000179745,-0.00123884,0.000814532,-0.002,1731.29,0.000179745,1,0.00498583,0.00251104,-0.002,7991.14
0,0,890,phononTS,0.000657284,-0.00123884,0.000814532,-0.002,1731.29,0.000657284,1,-0.00494351,0.00224373,-0.002,4939.13
0,0,889,phononTS,0.000506455,-0.00123884,0.000814532,-0.002,1731.29,0.00034743,1,-0.00223649,-0.00100975,-0.002,3273.42
0,0,905,phononTF,0.000141919,-0.00223649,-0.00100975,-0.002,3273.42,0.000141919,1,-0.00308624,-0.00231836,0.002,6825.01
0,0,904,phononL,1.71056e-05,-0.00223649,-0.00100975,-0.002,3273.42,1.71056e-05,1,0.00365758,0.000547671,-0.002,4567.37
0,0,888,phononTS,4.18282e-05,-0.00123884,0.000814532,-0.002,1731.29,4.18282e-05,1,0.00473471,-0.000648416,0.002,7816.04
0,0,887,phononTS,4.07171e-06,-0.00123884,0.000814532,-0.002,1731.29,4.07171e-06,1,-0.000739176,0.000736361,0.002,2441.18
0,0,886,phononTF,1.10958e-05,-0.00123884,0.000814532,-0.002,1731.29,1.10958e-05,1,-0.00499315,-0.00264425,0.002,4058.02
0,0,885,phononTS,0.00014404,-0.00123884,0.000814532,-0.002,1731.29,0.00014404,1,0.000384096,0.00220498,0.002,2628.01
0,0,884,phononTS,6.12847e-05,-0.00123884,0.000814532,-0.002,1731.29,6.12847e-05,1,0.00421824,0.00478532,0.002,6804.31
0,0,883,phononTF,0.000156954,-0.00123884,0.000814532,-0.002,1731.29,0.000156954,1,0.000825223,-0.00161828,0.002,2697.13
0,0,882,phononTS,9.0388e-05,-0.00123884,0.000814532,-0.002,1731.29,9.0388e-05,1,0.000391326,0.00190101,0.002,8495.15
0,0,881,phononTS,0.000379133,-0.00123884,0.000814532,-0.002,1731.29,0.000379133,1,-0.00377618,0.00262258,-0.002,5358.3
0,0,907,phononL,0.00726198,-0.00115835,-0.000795839,-0.000666838,1434.33,0.00279934,1,-0.00284831,0.00119993,-0.002,5780.27
0,0,925,phononTF,0.000292895,-0.00284831,0.00119993,-0.002,5780.27,0.000292895,1,-0.00484138,0.00158869,0.002,7318.93
0,0,924,phononTS,0.000329772,-0.00284831,0.00119993,-0.002,5780.27,0.000329772,1,-0.00150014,0.00417171,0.002,10025.1
0,0,922,phononTS,0.000916451,-0.00284831,0.00119993,-0.002,5780.27,0.000916451,1,-0.00111119,-0.000720564,0.002,9522.51
0,0,921,phononTS,9.15955e-05,-0.00284831,0.00119993,-0.002,5780.27,9.15955e-05,1,-0.000793762,0.00324472,0.002,10638.9
0,0,919,phononTS,3.97634e-05,-0.00284831,0.00119993,-0.002,5780.27,3.97634e-05,1,-2.45029e-05,0.00362377,-0.002,9534.13
0,0,918,phononL,5.83317e-06,-0.00284831,0.00119993,-0.002,5780.27,5.83317e-06,1,-0.00132594,0.00312871,0.002,6303.92
0,0,917,phononTS,9.56302e-05,-0.00284831,0.00119993,-0.002,5780.27,9.56302e-05,1,-0.00209737,0.00291982,-0.002,8015.82
0,0,916,phononTS,0.000216321,-0.00284831,0.00119993,-0.002,5780.27,0.000216321,1,-0.00315906,0.00496976,-0.002,14719.7
0,0,914,phononTF,0.000196376,-0.00284831,0.00119993,-0.002,5780.27,0.000196376,1,0.00204465,0.000990914,-0.002,11033.1
0,0,913,phononTS,2.06302e-05,-0.00284831,0.00119993,-0.002,5780.27,2.06302e-05,1,0.002819,0.000606889,-0.002,8732.33
